team_name,playoffs,bye_week,year
nwe,True,9,2016
mia,True,8,2016
buf,False,10,2016
nyj,False,11,2016
pit,True,8,2016
rav,False,8,2016
cin,False,9,2016
cle,False,13,2016
htx,True,9,2016
oti,False,13,2016
clt,False,10,2016
jax,False,5,2016
kan,True,5,2016
rai,True,10,2016
den,False,11,2016
sdg,False,11,2016
nwe,True,9,2017
buf,True,6,2017
mia,False,,2017
nyj,False,11,2017
pit,True,9,2017
rav,False,10,2017
cin,False,6,2017
cle,False,9,2017
jax,True,8,2017
oti,True,8,2017
clt,False,11,2017
htx,False,7,2017
kan,True,10,2017
sdg,False,9,2017
rai,False,10,2017
den,False,5,2017
nwe,True,11,2018
mia,False,11,2018
buf,False,11,2018
nyj,False,11,2018
rav,True,10,2018
pit,False,7,2018
cle,False,11,2018
cin,False,9,2018
htx,True,10,2018
clt,True,9,2018
oti,False,8,2018
jax,False,9,2018
kan,True,12,2018
sdg,True,8,2018
den,False,10,2018
rai,False,7,2018
nwe,True,10,2019
buf,True,6,2019
nyj,False,4,2019
mia,False,5,2019
rav,True,8,2019
pit,False,7,2019
cle,False,7,2019
cin,False,9,2019
htx,True,10,2019
oti,True,11,2019
clt,False,6,2019
jax,False,10,2019
kan,True,12,2019
den,False,10,2019
rai,False,6,2019
sdg,False,12,2019
buf,True,11,2020
mia,False,7,2020
nwe,False,5,2020
nyj,False,10,2020
pit,True,4,2020
rav,True,7,2020
cle,True,9,2020
cin,False,9,2020
oti,True,4,2020
clt,True,7,2020
htx,False,8,2020
jax,False,8,2020
kan,True,10,2020
rai,False,6,2020
sdg,False,6,2020
den,False,5,2020
buf,True,7,2021
nwe,True,14,2021
mia,False,14,2021
nyj,False,6,2021
cin,True,10,2021
pit,True,7,2021
cle,False,13,2021
rav,False,8,2021
oti,True,13,2021
clt,False,14,2021
htx,False,10,2021
jax,False,7,2021
kan,True,12,2021
rai,True,8,2021
sdg,False,7,2021
den,False,11,2021
buf,True,7,2022
mia,True,11,2022
nwe,False,10,2022
nyj,False,10,2022
cin,True,10,2022
rav,True,10,2022
pit,False,9,2022
cle,False,9,2022
jax,True,11,2022
oti,False,6,2022
clt,False,14,2022
htx,False,6,2022
kan,True,8,2022
sdg,True,8,2022
rai,False,6,2022
den,False,9,2022
buf,True,13,2023
mia,True,10,2023
nyj,False,7,2023
nwe,False,11,2023
rav,True,13,2023
cle,True,5,2023
pit,True,6,2023
cin,False,7,2023
htx,True,7,2023
jax,False,9,2023
clt,False,11,2023
oti,False,7,2023
kan,True,10,2023
rai,False,13,2023
den,False,9,2023
sdg,False,5,2023
buf,True,12,2024
mia,False,6,2024
nyj,False,12,2024
nwe,False,14,2024
rav,True,14,2024
pit,True,9,2024
cin,False,12,2024
cle,False,10,2024
htx,True,14,2024
clt,False,14,2024
jax,False,12,2024
oti,False,5,2024
kan,True,6,2024
sdg,True,5,2024
den,True,14,2024
rai,False,10,2024
dal,True,7,2016
nyg,True,8,2016
was,False,9,2016
phi,False,4,2016
gnb,True,4,2016
det,True,10,2016
min,False,6,2016
chi,False,9,2016
atl,True,11,2016
tam,False,6,2016
nor,False,5,2016
car,False,7,2016
sea,True,5,2016
crd,False,9,2016
ram,False,8,2016
sfo,False,8,2016
phi,True,10,2017
dal,False,6,2017
was,False,5,2017
nyg,False,8,2017
min,True,9,2017
det,False,7,2017
gnb,False,8,2017
chi,False,9,2017
nor,True,5,2017
car,True,11,2017
atl,True,5,2017
tam,False,,2017
ram,True,8,2017
sea,False,6,2017
crd,False,8,2017
sfo,False,11,2017
dal,True,8,2018
phi,True,9,2018
was,False,4,2018
nyg,False,9,2018
chi,True,5,2018
min,False,10,2018
gnb,False,7,2018
det,False,6,2018
nor,True,6,2018
atl,False,8,2018
car,False,4,2018
tam,False,5,2018
ram,True,12,2018
sea,True,7,2018
sfo,False,11,2018
crd,False,9,2018
phi,True,10,2019
dal,False,8,2019
nyg,False,11,2019
was,False,10,2019
gnb,True,11,2019
min,True,12,2019
chi,False,6,2019
det,False,5,2019
nor,True,9,2019
atl,False,9,2019
tam,False,7,2019
car,False,7,2019
sfo,True,4,2019
sea,True,11,2019
ram,False,9,2019
crd,False,12,2019
was,True,8,2020
nyg,False,11,2020
dal,False,10,2020
phi,False,9,2020
gnb,True,5,2020
chi,True,11,2020
min,False,7,2020
det,False,5,2020
nor,True,6,2020
tam,True,13,2020
car,False,13,2020
atl,False,10,2020
sea,True,6,2020
ram,True,9,2020
crd,False,8,2020
sfo,False,11,2020
dal,True,7,2021
phi,True,14,2021
was,False,9,2021
nyg,False,10,2021
gnb,True,13,2021
min,False,7,2021
chi,False,10,2021
det,False,9,2021
tam,True,9,2021
nor,False,6,2021
atl,False,6,2021
car,False,13,2021
ram,True,11,2021
crd,True,12,2021
sfo,True,6,2021
sea,False,9,2021
phi,True,7,2022
dal,True,9,2022
nyg,True,9,2022
was,False,14,2022
min,True,7,2022
det,False,6,2022
gnb,False,14,2022
chi,False,14,2022
tam,True,11,2022
car,False,13,2022
nor,False,14,2022
atl,False,14,2022
sfo,True,9,2022
sea,True,11,2022
ram,False,7,2022
crd,False,13,2022
dal,True,7,2023
phi,True,10,2023
nyg,False,13,2023
was,False,14,2023
det,True,9,2023
gnb,True,6,2023
min,False,13,2023
chi,False,13,2023
tam,True,5,2023
nor,False,11,2023
atl,False,11,2023
car,False,7,2023
sfo,True,9,2023
ram,True,10,2023
sea,False,5,2023
crd,False,14,2023
phi,True,5,2024
was,True,14,2024
dal,False,7,2024
nyg,False,11,2024
det,True,5,2024
min,True,6,2024
gnb,True,10,2024
chi,False,7,2024
tam,True,11,2024
atl,False,12,2024
car,False,11,2024
nor,False,12,2024
ram,True,6,2024
sea,False,10,2024
crd,False,11,2024
sfo,False,9,2024
